iindex,DateTime,CloseTime,Julian Open Time,Julian Closing Time,Latitude,Longitude,AltP_feet,AltP_meters,CH4 (ppmv),CH4 (ppbv),CO (ppbv),CO2_ppm,OCS (MS),DMS (MS),CS2 (MS),CFC-12 (C/D),CFC-11 (C/D),CFC-113 (D),CFC-114 (C/MS),H-1211 (C/D),H-1301 (C),HFC-152a (MS),HFC-134a (MS),HCFC-22 (MS),HCFC-142b,HCFC-141b (MS),CHCl3 (C/D),CH3CCl3 (C/MS),CCl4 (C/MS),CH2Cl2 (C/D/MS),C2HCl3 (D/MS),C2Cl4 (C/MS),CH3Cl (MS),CH3Br (C/MS),CH3I (C/D),CH2Br2 (D),CHBrCl2 (D),CHBr2Cl (D),CHBr3 (C/MS),EtCl (MS),"1,2-DCE (MS)",MeONO2 (C/D),EtONO2 (C/D),i-PrONO2 (D),n-PrONO2 (C),2-BuONO2 (D),3-PeONO2 (D),2-PeONO2 (D),3-Methyl-2-BuONO2 (D),Ethane (E),Ethene (E),Ethyne (E),Propane (E/B),Propene (E),i-Butane (E),n-Butane (E),i-Butene (E),1-Butene (E),trans-2-Butene (MS),cis-2-Butene (MS),i-Pentane (E),n-Pentane (E),1-Pentene,Isoprene (E/B),"1,3-Butadiene (B)",trans-2-Pentene,cis-2-Pentene,3-Methyl-1-butene,2-Methyl-1-Butene,2-Methyl-2-butene,"1,2-Propadiene",n-Hexane (E),n-Heptane (E),n-Octane (B),n-Nonane (B),n-Decane (B),"2,2-Dimethylbutane (B)","2,3-Dimethylbutane (MS)",2-Methylpentane (MS),3-Methylpentane (MS),2-Methylhexane (B),3-Methylhexane (B),2-Methylheptane (B),3-Methylheptane (B),"2,3-Dimethylpentane (B)","2,4-Dimethylpentane (B)","2,2,4-Trimethylpentane (B)","2,3,4-Trimethylpentane",Cyclopentane (B),Methylcyclopentane (B),Cyclohexane,Methylcylohexane (B),Benzene (E/MS),Toluene (B),Ethylbenzene (MS),m/p-Xylene (MS),o-Xylene (MS),Styrene (MS),i-Propylbenzene (MS),n-Propylbenzene (MS),3-Ethyltoluene (MS),4-Ethyltoluene (MS),2-Ethyltoluene (MS),"1,3,5-Trimethylbenzene (MS)","1,2,4-Trimethylbenzene (MS)","1,2,3-Trimethylbenzene (MS)",alpha-Pinene (MS),beta-Pinene (MS),LL,Year,Month,Day,Hour
2602,2018-06-26 18:16:00,18:16:51,43277.76111,43277.7617,35.21666667,-118.8166667,2370.0,722.376,1.985,198.5,138.0,,557.0,1.0,,530.0,235.8,76.5,16.22,4.056,5.163,57.1,114.6,277.0,24.26,31.59,21.4,2.178,82.1,87.7,0.49,2.09,562.0,9.87,1.104,,0.698,0.41,1.484,,21.14,8.965,3.389,5.595,0.659,4.565,2.651,1.988,2.601,1294.0,58.0,142.0,599.0,19.0,95.0,197.0,13.0,12.0,,,81.0,52.0,,5.0,,,,,,,,13.0,9.0,,,,,4.0,19.0,10.0,,,,,,4.0,7.0,,6.0,21.0,,,32.0,14.0,,4.0,,,,,,,,,,,,,"(35.21666667, -118.8166667)",2018,6,26,18
2603,2018-06-26 18:18:00,18:18:51,43277.7625,43277.76309,35.31666667,-118.9333333,2348.0,715.6704,2.21,221.0,194.0,,643.0,0.5,,535.1,240.8,76.8,17.05,4.331,7.559,208.6,220.6,818.0,27.89,37.4,35.74,2.47,86.5,94.2,1.7,8.19,622.0,9.41,1.528,,1.587,0.705,2.18,,23.76,12.824,5.982,14.733,1.434,14.372,10.311,7.53,11.457,2794.0,230.0,414.0,2011.0,53.0,370.0,801.0,43.0,18.0,,,597.0,291.0,,18.0,,,,,,,,78.0,35.0,8.0,6.0,4.0,,37.0,156.0,86.0,,,,,25.0,23.0,52.0,,31.0,96.0,,,103.0,159.0,22.0,37.0,18.0,,,5.0,5.0,4.0,3.0,,5.0,,,,"(35.31666667, -118.9333333)",2018,6,26,18
2604,2018-06-26 18:20:00,18:20:48,43277.76389,43277.76444,35.41666667,-119.05,2326.0,708.9648,2.074,207.4,159.0,,624.0,0.3,,528.9,240.9,75.1,16.69,4.183,6.53,108.7,154.9,334.0,26.93,35.18,27.09,2.551,86.1,100.0,0.99,5.15,594.0,8.04,1.371,,0.912,0.472,1.751,,22.96,11.497,4.693,9.204,0.924,6.912,5.151,3.625,5.787,1505.0,84.0,244.0,792.0,13.0,97.0,174.0,15.0,,,,361.0,85.0,,11.0,,,,,,,,24.0,10.0,,3.0,5.0,,10.0,39.0,19.0,,,,,6.0,7.0,25.0,,6.0,24.0,,,50.0,39.0,6.0,11.0,5.0,7.0,,,,,,,3.0,,,,"(35.41666667, -119.05)",2018,6,26,18
2605,2018-06-26 18:22:00,18:22:49,43277.76528,43277.76584,35.55,-119.0833333,2859.0,871.4232,2.224,222.4,151.0,,564.0,0.4,,529.0,236.3,75.4,16.29,4.238,5.516,91.7,146.2,317.0,25.44,41.29,30.02,2.332,82.1,92.7,0.74,2.81,575.0,9.72,1.398,,1.209,0.551,1.912,,21.43,11.176,5.14,10.965,1.372,9.73,8.931,6.245,9.417,2015.0,90.0,280.0,1100.0,10.0,194.0,347.0,29.0,,,,338.0,183.0,,9.0,,,,,,,,33.0,15.0,,4.0,,,15.0,55.0,29.0,,,,,30.0,12.0,20.0,,16.0,39.0,,,53.0,41.0,6.0,8.0,4.0,,,,,,,,,,,,"(35.55, -119.0833333)",2018,6,26,18
2606,2018-06-26 18:26:00,18:26:41,43277.76806,43277.76853,35.35,-118.85,3406.0,1038.1488,2.032,203.2,143.0,,628.0,0.4,,534.6,234.8,76.9,17.05,4.087,4.333,75.5,141.7,329.0,28.03,36.09,25.42,2.655,91.7,99.2,0.88,3.11,637.0,8.34,1.258,,0.692,0.376,1.627,,25.88,10.566,4.286,8.298,0.903,5.713,3.744,2.503,3.935,1352.0,43.0,173.0,602.0,3.0,117.0,170.0,19.0,,,,155.0,81.0,,4.0,,,,,,,,19.0,12.0,,5.0,7.0,,8.0,34.0,20.0,,,,,,4.0,8.0,,8.0,40.0,,,43.0,29.0,6.0,9.0,4.0,5.0,,4.0,3.0,5.0,3.0,3.0,5.0,5.0,,,"(35.35, -118.85)",2018,6,26,18
2607,2018-06-26 18:28:00,18:28:43,43277.76944,43277.76994,35.23333333,-118.7333333,3579.0,1090.8792,1.963,196.3,132.0,,549.0,0.1,,531.1,234.6,76.5,16.4,3.958,4.245,62.0,124.9,286.0,25.23,32.51,21.52,2.149,82.5,90.6,0.41,2.13,529.0,10.49,1.037,,0.55,0.311,1.479,,22.33,10.069,3.532,5.821,0.827,3.859,2.503,1.807,2.971,1037.0,30.0,158.0,352.0,10.0,47.0,67.0,8.0,,,,65.0,26.0,,7.0,,,,,,,,8.0,10.0,,3.0,,,,11.0,6.0,,,,,,,7.0,,,10.0,,,29.0,11.0,,,,,,,,,,,,,,,"(35.23333333, -118.7333333)",2018,6,26,18
2608,2018-06-26 18:31:00,18:31:49,43277.77159,43277.77209,35.31666667,-118.9333333,3245.0,989.076,2.013,201.3,,,592.0,0.3,,506.3,243.9,73.4,16.67,3.91,4.708,124.6,156.4,547.0,24.99,32.8,25.39,2.439,85.6,86.9,0.79,3.46,536.0,8.8,1.082,1.528,0.765,0.438,1.574,,22.47,9.291,4.028,7.913,1.293,6.388,5.089,3.25,,1531.0,86.0,238.0,767.0,10.0,128.0,255.0,21.0,,,,201.0,95.0,,6.0,,,,,,,,28.0,8.0,,,,,11.0,43.0,26.0,,,,,11.0,8.0,35.0,,9.0,29.0,,,53.0,50.0,9.0,11.0,7.0,3.0,,4.0,4.0,5.0,4.0,3.0,5.0,5.0,,,"(35.31666667, -118.9333333)",2018,6,26,18
2609,2018-06-26 18:33:00,18:33:42,43277.77292,43277.7734,35.41666667,-119.05,3254.0,991.8192,1.911,191.1,114.0,,579.0,,,507.6,233.2,71.9,16.41,3.658,3.539,53.4,113.8,284.0,24.08,29.26,19.73,2.127,85.6,77.8,0.29,2.0,512.0,8.8,1.145,1.644,0.514,0.363,1.467,,21.65,7.195,3.17,5.249,0.678,3.278,2.187,1.309,,961.0,31.0,151.0,260.0,,29.0,50.0,8.0,,,,22.0,11.0,,,,,,,,,,,,,,,,,4.0,,,,,,,,5.0,,,6.0,,,30.0,5.0,,,,,,,,,,,,,,,"(35.41666667, -119.05)",2018,6,26,18
2610,2018-06-26 18:35:00,18:35:47,43277.77431,43277.77485,35.53333333,-119.0666667,4779.0,1456.6392,1.922,192.2,122.0,,618.0,0.2,,518.1,244.6,73.0,16.61,3.703,3.885,62.8,124.7,298.0,25.7,30.75,21.02,2.4,87.9,79.6,0.29,2.04,549.0,9.41,1.158,1.571,0.52,0.363,1.576,,21.94,8.211,3.229,5.458,0.722,3.519,2.259,1.36,,963.0,30.0,138.0,270.0,,30.0,51.0,8.0,,,,24.0,14.0,,,,,,,,,,,,,5.0,,,,4.0,,,,,,,,4.0,,,3.0,,,27.0,5.0,,5.0,,3.0,,,,3.0,3.0,3.0,4.0,6.0,,,"(35.53333333, -119.0666667)",2018,6,26,18
2611,2018-06-26 18:37:00,18:37:49,43277.77569,43277.77626,35.43333333,-118.9333333,5523.0,1683.4104,1.924,192.4,139.0,,584.0,,,504.3,239.1,71.7,16.65,3.58,3.304,57.0,114.7,283.0,24.26,29.83,21.03,2.365,84.9,86.3,0.3,2.18,523.0,9.57,1.098,1.674,0.52,0.379,1.767,,21.65,8.222,3.349,5.798,0.572,4.053,2.33,1.548,,1047.0,27.0,125.0,313.0,,40.0,69.0,7.0,,,,31.0,15.0,,5.0,,,,,,,,,,,,,,,4.0,,,,,,,,4.0,,,5.0,,,22.0,5.0,,,,,,,,,,,,,,,"(35.43333333, -118.9333333)",2018,6,26,18
2612,2018-06-26 18:39:00,18:39:52,43277.77708,43277.77769,35.31666667,-118.8,124.0,37.7952,1.883,188.3,124.0,,580.0,,,517.2,229.6,72.5,16.49,3.648,3.583,33.2,106.8,276.0,24.08,28.63,19.21,2.12,86.0,78.4,0.19,1.77,519.0,8.49,0.596,1.383,0.333,0.214,0.926,,22.86,5.708,2.188,2.95,0.337,1.688,0.967,0.634,,834.0,18.0,146.0,151.0,,14.0,24.0,5.0,,,,12.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,25.0,3.0,,,,,,,,,,,,,,,"(35.31666667, -118.8)",2018,6,26,18
2613,2018-06-26 18:41:00,18:41:19,43277.77847,43277.77869,35.23333333,-118.85,194.0,59.1312,1.905,190.5,119.0,,590.0,0.1,,520.0,233.2,73.3,16.46,3.65,3.708,48.6,120.2,289.0,24.85,30.41,20.35,2.378,87.7,74.8,0.25,1.99,543.0,7.88,1.023,1.578,0.534,0.339,1.372,,21.38,7.04,2.791,4.672,0.434,3.065,1.616,1.17,,860.0,22.0,111.0,215.0,,25.0,41.0,,,,,19.0,10.0,,,,,,,,,,,,,7.0,,,,,,,,,,,,4.0,,,6.0,,,21.0,4.0,,,,,,,,,,,,,,,"(35.23333333, -118.85)",2018,6,26,18
2614,2018-06-26 18:43:00,18:43:49,43277.77986,43277.78043,35.33333333,-118.9666667,5521.0,1682.8008,1.944,194.4,114.0,,592.0,,,506.0,245.8,73.1,16.67,3.632,3.231,64.1,115.9,288.0,25.08,31.33,21.76,2.246,86.0,84.8,0.29,2.05,539.0,9.57,1.192,1.696,0.668,0.444,1.814,,21.85,8.143,3.672,6.412,1.01,4.674,2.77,1.741,,1104.0,25.0,125.0,348.0,3.0,45.0,77.0,6.0,,,,34.0,19.0,,,,,,,,,,6.0,,,,,,,5.0,3.0,,,,,,3.0,8.0,,,7.0,,,22.0,4.0,,,,,,,,,,,,,,,"(35.33333333, -118.9666667)",2018,6,26,18
2615,2018-06-26 18:45:00,18:45:50,43277.78125,43277.78183,35.45,-119.0666667,5405.0,1647.444,1.92,192.0,126.0,,590.0,,,516.9,228.7,73.1,16.57,3.677,3.951,57.6,117.0,292.0,24.69,30.23,21.13,2.392,86.4,78.8,0.28,2.04,542.0,9.87,1.13,1.691,0.62,0.39,1.751,,22.51,7.997,3.386,5.918,0.651,4.165,2.544,1.514,,992.0,26.0,114.0,318.0,,41.0,64.0,7.0,,,,29.0,15.0,,,,,,,,,,8.0,,,,,,,4.0,,,,,,,,,,,5.0,,,21.0,4.0,,,,,,,,,,,,,,,"(35.45, -119.0666667)",2018,6,26,18
2616,2018-06-26 18:48:00,18:48:38,43277.78333,43277.78377,35.61666667,-119.25,1533.0,467.2584,1.975,197.5,114.0,,604.0,0.4,,521.8,240.0,73.9,16.71,4.003,6.339,114.4,143.7,303.0,25.36,31.42,24.33,2.525,87.1,82.3,0.85,2.59,558.0,11.71,1.227,2.086,0.81,0.458,1.709,,21.1,9.274,4.3,8.327,1.168,5.184,3.319,2.164,,1068.0,68.0,198.0,369.0,5.0,39.0,65.0,9.0,,,,55.0,22.0,,27.0,,,,,,,,10.0,,,8.0,4.0,,,11.0,7.0,,,,,,4.0,9.0,,,13.0,,,46.0,14.0,,,,,,,,,,,,,,,"(35.61666667, -119.25)",2018,6,26,18
2617,2018-06-26 18:51:00,18:51:38,43277.78542,43277.78586,35.75,-119.4333333,1333.0,406.2984,2.017,201.7,118.0,,593.0,0.3,,514.5,243.0,72.3,16.74,3.892,5.714,110.4,136.8,306.0,25.05,33.02,23.83,2.514,85.8,91.1,0.68,2.58,545.0,9.26,1.375,1.696,0.847,0.471,1.879,,20.61,9.591,4.112,7.319,0.958,5.101,3.369,2.236,,1179.0,55.0,205.0,423.0,,52.0,84.0,12.0,,,,71.0,29.0,,8.0,,,,,,,,13.0,4.0,,,,,3.0,14.0,9.0,,,,,,7.0,10.0,,,13.0,,,43.0,17.0,,,,,,,,,,,,,,,"(35.75, -119.4333333)",2018,6,26,18
2618,2018-06-26 18:54:00,18:54:40,43277.7875,43277.78796,35.9,-119.6,1303.0,397.1544,1.951,195.1,116.0,,571.0,0.4,,514.3,240.6,73.8,16.42,3.98,5.795,104.4,134.8,297.0,24.67,30.7,22.96,2.316,86.2,88.1,0.75,2.92,529.0,9.25,1.188,1.698,0.885,0.412,1.674,,22.59,8.906,3.751,6.653,0.726,4.542,3.134,2.052,,1143.0,38.0,179.0,341.0,,40.0,67.0,10.0,,,,63.0,23.0,,6.0,,,,,,,,9.0,,,,,,,12.0,7.0,,,,,,7.0,10.0,,,10.0,,,37.0,14.0,,,,,,,,,,,,,,,"(35.9, -119.6)",2018,6,26,18
2619,2018-06-26 18:57:00,18:57:41,43277.78958,43277.79006,36.05,-119.7666667,2147.0,654.4056,1.946,194.6,136.0,,488.0,0.2,,517.4,229.0,70.3,16.54,3.297,4.289,76.6,107.1,257.0,25.59,26.66,21.58,2.113,80.3,70.6,0.89,2.11,471.0,8.04,1.015,2.363,1.516,0.503,1.675,,17.67,7.685,3.074,6.337,0.574,3.755,6.248,4.088,,586.0,16.0,84.0,197.0,,25.0,47.0,4.0,,,,33.0,13.0,,,,,,,,,,,,,,,,,7.0,4.0,,,,,41.0,,7.0,,,7.0,,,24.0,8.0,,,,,,,,,,,,,,,"(36.05, -119.7666667)",2018,6,26,18
2620,2018-06-26 18:59:00,18:59:50,43277.79112,43277.79155,36.18333333,-119.8666667,2803.0,854.3544,1.916,191.6,126.0,,585.0,0.1,,518.3,237.3,73.4,16.59,3.703,3.796,53.6,115.7,286.0,25.05,30.78,19.01,2.129,85.9,81.7,0.32,1.84,528.0,8.49,0.935,1.535,0.553,0.324,1.258,,19.63,7.202,2.851,4.544,0.675,3.424,2.028,1.251,,1011.0,36.0,151.0,310.0,,43.0,78.0,7.0,,,,34.0,20.0,,,,,,,,,,8.0,6.0,,,,,,7.0,4.0,,,,,,,6.0,,,8.0,,,32.0,7.0,,,,,,,,,,,,,,,"(36.18333333, -119.8666667)",2018,6,26,18
2621,2018-06-26 19:00:00,19:00:42,43277.79167,43277.79215,36.21666667,-119.8833333,2582.0,786.9936,2.012,201.2,107.0,,577.0,0.8,,506.5,231.3,72.8,16.3,3.779,4.112,64.2,124.4,291.0,23.93,30.42,21.78,2.311,85.6,82.3,0.68,2.28,527.0,11.86,1.059,1.766,0.653,0.441,1.507,,22.17,8.011,3.389,6.311,0.847,4.078,2.561,1.646,,1162.0,106.0,175.0,466.0,13.0,66.0,91.0,10.0,,,,66.0,29.0,,5.0,,,,,,,,10.0,7.0,,3.0,,,4.0,16.0,9.0,,,,,,6.0,9.0,,4.0,23.0,,,35.0,16.0,,3.0,,,,,,,,,,,,,"(36.21666667, -119.8833333)",2018,6,26,19
2622,2018-06-26 19:01:00,19:01:42,43277.79236,43277.79285,36.25,-119.9,1780.0,542.544,2.027,202.7,104.0,,565.0,0.6,,504.5,229.2,73.9,16.47,3.422,3.879,77.5,136.3,294.0,25.26,30.75,22.59,2.478,87.0,81.3,0.42,2.38,517.0,8.36,1.009,1.539,0.643,0.373,1.408,,19.59,8.602,3.131,5.67,0.766,3.997,2.394,1.785,,1122.0,199.0,248.0,469.0,16.0,74.0,86.0,9.0,,,,68.0,28.0,,,,,,,,,,10.0,,,,,,3.0,13.0,8.0,,,,,,,18.0,,3.0,12.0,,,42.0,18.0,,3.0,,,,,,,,,,,,,"(36.25, -119.9)",2018,6,26,19
2623,2018-06-26 19:02:00,19:02:40,43277.79306,43277.79352,36.3,-119.9333333,566.0,172.5168,2.052,205.2,112.0,,656.0,1.6,,519.0,234.2,80.7,16.62,3.803,4.48,78.4,126.3,292.0,26.86,35.41,23.58,2.415,86.1,86.1,0.53,2.36,538.0,12.02,1.034,1.829,0.679,0.399,1.499,,22.8,8.359,3.982,6.647,1.061,4.125,2.539,1.794,,1129.0,631.0,512.0,506.0,97.0,73.0,92.0,10.0,16.0,,,75.0,31.0,,13.0,7.0,,,,,,,11.0,12.0,,,4.0,,4.0,15.0,9.0,,,,,,3.0,10.0,,4.0,19.0,,,75.0,26.0,4.0,4.0,,,,,,,,,,,,,"(36.3, -119.9333333)",2018,6,26,19
2624,2018-06-26 19:03:00,19:03:48,43277.79385,43277.79431,36.35,-119.95,1316.0,401.1168,2.049,204.9,122.0,,568.0,1.2,,507.9,231.5,72.9,16.19,3.792,4.759,71.3,124.6,289.0,25.2,31.89,23.47,2.372,85.9,82.1,0.44,2.3,530.0,10.64,1.137,1.653,0.773,0.413,1.561,,22.02,7.741,3.36,5.98,0.634,3.935,2.467,1.651,,1060.0,72.0,136.0,408.0,6.0,66.0,81.0,9.0,,,,59.0,26.0,,4.0,,,,,,,,6.0,7.0,,,,,,12.0,7.0,,,,,,5.0,7.0,,,11.0,,,26.0,13.0,,,,,,,,,,,,,,,"(36.35, -119.95)",2018,6,26,19
2625,2018-06-26 19:04:00,19:04:45,43277.79444,43277.79497,36.4,-119.9833333,2494.0,760.1712,1.962,196.2,116.0,,574.0,0.3,,512.8,242.3,72.0,16.51,3.724,5.266,108.0,141.0,300.0,25.37,31.8,23.96,2.368,87.3,86.0,0.64,2.99,529.0,9.72,1.274,1.627,1.152,0.456,1.763,,20.73,8.662,3.739,6.7,0.997,4.825,3.039,2.11,,1159.0,50.0,163.0,376.0,,48.0,78.0,9.0,,,,66.0,26.0,,6.0,,,,,,,,11.0,3.0,,,,,,11.0,7.0,,,,,,4.0,13.0,,,11.0,,,37.0,15.0,,,,,,,,,,,,,,,"(36.4, -119.9833333)",2018,6,26,19
2626,2018-06-26 19:07:00,19:07:35,43277.79653,43277.79693,36.35,-119.85,2425.0,739.14,1.927,192.7,137.0,,602.0,0.2,,524.2,237.9,74.8,16.71,3.751,4.348,65.2,116.5,290.0,25.05,31.46,20.88,2.359,86.7,84.3,0.26,2.01,548.0,9.87,1.252,1.676,0.546,0.388,1.587,,20.13,8.482,3.5,5.637,0.661,4.062,2.336,1.444,,978.0,26.0,114.0,338.0,,43.0,74.0,8.0,,,,33.0,16.0,,,,,,,,,,,4.0,,,,,,7.0,4.0,,,,,,,4.0,,,10.0,,,24.0,6.0,,,,,,,,,,,,,,,"(36.35, -119.85)",2018,6,26,19
2627,2018-06-26 19:10:00,19:10:33,43277.79861,43277.79899,36.18333333,-119.7333333,2092.0,637.6416,1.997,199.7,111.0,,591.0,1.2,,523.3,241.1,74.4,16.26,3.778,4.869,65.0,121.7,296.0,25.38,31.08,22.2,2.327,87.0,82.5,0.4,2.25,540.0,9.87,1.3,1.73,0.617,0.41,1.732,,22.0,8.718,3.533,5.796,0.963,3.92,2.451,1.595,,1024.0,31.0,130.0,344.0,5.0,44.0,65.0,7.0,,,,42.0,20.0,,4.0,,,,,,,,7.0,,,,,,,9.0,5.0,,,,,,4.0,6.0,,,17.0,,,27.0,9.0,,,,,,,,,,,,,,,"(36.18333333, -119.7333333)",2018,6,26,19
2628,2018-06-26 19:13:00,19:13:33,43277.80069,43277.80108,35.98333333,-119.6833333,2104.0,641.2992,1.953,195.3,113.0,,582.0,0.3,,510.1,239.6,71.0,16.82,3.513,5.233,103.7,144.5,303.0,26.03,31.75,24.38,2.543,88.4,84.0,0.66,3.0,553.0,11.08,1.24,1.506,1.213,0.505,1.611,,20.74,9.261,3.618,6.517,0.781,4.344,2.845,2.107,,1144.0,47.0,165.0,362.0,,47.0,76.0,9.0,,,,74.0,31.0,,,,,,,,,,11.0,,,,,,,11.0,8.0,,,,,,,8.0,,,7.0,,,37.0,15.0,,,,,,,,,,,,,,,"(35.98333333, -119.6833333)",2018,6,26,19
2629,2018-06-26 19:16:00,19:16:35,43277.80278,43277.80318,35.83333333,-119.5166667,2109.0,642.8232,1.988,198.8,112.0,,583.0,0.4,,520.9,237.4,73.5,16.59,3.973,5.736,110.1,135.4,302.0,25.63,32.75,23.21,2.517,86.2,93.2,0.72,2.78,550.0,12.02,1.396,1.844,0.838,0.453,1.84,,21.78,9.741,4.15,7.493,1.134,4.865,3.638,2.18,,1179.0,49.0,182.0,415.0,,50.0,83.0,7.0,4.0,,,63.0,25.0,,6.0,,,,,,,,6.0,,,,,,,12.0,7.0,,,,,8.0,,12.0,,,9.0,,,38.0,14.0,,,,,,,,,,,,,,,"(35.83333333, -119.5166667)",2018,6,26,19
2630,2018-06-26 19:19:00,19:19:36,43277.80486,43277.80528,35.68333333,-119.3333333,2098.0,639.4704,1.944,194.4,141.0,,606.0,0.4,,522.4,239.7,74.1,16.71,3.929,5.347,76.6,127.2,303.0,24.88,31.08,21.99,2.383,86.9,84.1,0.6,2.91,556.0,10.49,1.418,1.704,0.641,0.413,1.664,,22.36,8.587,3.799,7.069,1.219,4.385,3.022,1.528,,1060.0,69.0,161.0,334.0,39.0,37.0,63.0,8.0,14.0,,,42.0,9.0,,4.0,,,,,,,,4.0,,,4.0,4.0,,,9.0,4.0,,,,,,,8.0,,,11.0,,,36.0,13.0,,,,3.0,,3.0,,,,,5.0,6.0,6.0,,"(35.68333333, -119.3333333)",2018,6,26,19
2631,2018-06-26 19:22:00,19:22:38,43277.80694,43277.80738,35.56666667,-119.1833333,3084.0,940.0032,1.91,191.0,78.0,,581.0,,,510.0,233.1,70.7,16.29,3.526,3.62,66.2,123.7,286.0,24.23,30.26,20.83,2.22,86.7,76.9,0.3,2.11,523.0,9.26,1.076,1.561,0.57,0.332,1.484,,20.1,6.622,3.256,5.537,0.543,4.021,2.264,1.497,,979.0,21.0,129.0,302.0,,36.0,60.0,7.0,4.0,,,30.0,15.0,,,,,,,,,,,,,,,,,4.0,,,,,,,,5.0,,,8.0,,,25.0,5.0,,,,,,,,,,,,,,,"(35.56666667, -119.1833333)",2018,6,26,19
2632,2018-06-26 19:26:00,19:26:35,43277.80972,43277.81013,35.75,-119.4166667,3197.0,974.4456,1.981,198.1,125.0,,582.0,0.4,,515.7,226.4,76.7,16.3,3.851,3.907,71.8,121.9,289.0,25.18,30.68,23.11,2.217,83.0,95.9,0.52,2.32,545.0,9.33,1.805,0.855,0.755,0.488,1.811,,22.29,13.52,4.307,7.685,1.757,5.12,3.435,2.085,3.101,1253.0,48.0,181.0,415.0,4.0,50.0,89.0,16.0,3.0,,,48.0,25.0,,4.0,,,,,,,,,,,7.0,,,,9.0,5.0,,,,,11.0,26.0,7.0,,,49.0,,,41.0,10.0,3.0,6.0,,4.0,,,,,,,5.0,7.0,,,"(35.75, -119.4166667)",2018,6,26,19
2633,2018-06-26 19:29:00,19:29:32,43277.81181,43277.81218,35.9,-119.6,3187.0,971.3976,1.898,189.8,153.0,,563.0,0.2,,507.0,230.5,75.1,16.12,3.57,3.198,44.0,105.8,276.0,24.17,27.45,19.73,2.038,82.3,85.4,0.26,1.86,525.0,7.92,1.171,0.757,0.64,0.346,1.339,,20.24,7.069,2.787,4.773,0.657,3.231,1.905,1.335,1.544,1037.0,45.0,186.0,287.0,12.0,30.0,63.0,7.0,,,,22.0,15.0,,,,,,,,,,,,,3.0,,,,4.0,,,,,,,,8.0,,,,,,44.0,8.0,,,,,,,,,,,,,,,"(35.9, -119.6)",2018,6,26,19
2634,2018-06-26 19:32:00,19:32:33,43277.81389,43277.81427,36.05,-119.8,3419.0,1042.1112,1.88,188.0,106.0,,561.0,0.2,,507.6,228.3,73.5,16.08,3.684,3.388,41.0,101.8,278.0,24.68,28.71,17.95,2.116,81.5,84.4,0.26,1.7,548.0,7.53,0.427,0.769,0.52,0.326,1.331,,18.36,10.0,2.744,3.914,0.694,2.445,1.671,1.067,1.337,820.0,24.0,126.0,211.0,,25.0,43.0,7.0,,,,22.0,12.0,,,,,,,,,,,,,5.0,6.0,,,5.0,,,,,,,,10.0,,,34.0,,,28.0,8.0,,,,,3.0,,,,,,10.0,14.0,,,"(36.05, -119.8)",2018,6,26,19
2635,2018-06-26 19:35:00,19:35:39,43277.81597,43277.81642,36.16666667,-120.0166667,4960.0,1511.808,1.85,185.0,76.0,,570.0,,,507.5,226.3,72.2,16.39,3.818,3.206,17.5,99.1,271.0,24.66,26.7,17.07,2.027,82.9,77.0,0.19,1.29,548.0,8.82,0.108,0.573,0.332,0.165,0.416,,20.69,4.174,1.213,1.019,0.22,0.637,0.348,0.295,0.303,577.0,11.0,61.0,51.0,,,8.0,7.0,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,,12.0,,,,,,,,,,,,,,,,"(36.16666667, -120.0166667)",2018,6,26,19
2636,2018-06-26 19:38:00,19:38:34,43277.81806,43277.81845,36.28333333,-120.2333333,1622.0,494.3856,1.956,195.6,85.0,,522.0,1.7,,504.0,242.5,71.6,16.65,3.467,3.49,59.9,110.6,273.0,24.65,26.34,21.41,2.1,81.2,89.9,0.4,1.91,523.0,7.79,1.008,0.75,0.844,0.464,1.435,,20.78,7.302,3.006,5.557,1.384,4.725,2.9,1.968,2.714,1071.0,46.0,110.0,467.0,4.0,98.0,182.0,11.0,,,,78.0,43.0,,,,,,,,,,12.0,,,,,,3.0,13.0,8.0,,,,,,,11.0,,4.0,14.0,,,26.0,11.0,,,,,,,,,,,,,,,"(36.28333333, -120.2333333)",2018,6,26,19
2637,2018-06-26 19:40:00,19:40:34,43277.81944,43277.81984,36.28333333,-120.25,1824.0,555.9552,1.919,191.9,104.0,,541.0,0.4,,516.6,231.9,75.9,16.27,3.819,3.224,54.5,111.5,281.0,25.13,28.01,20.24,2.066,81.8,76.9,0.34,2.0,549.0,8.43,1.055,0.743,0.934,0.495,1.355,,19.71,7.53,2.894,4.998,0.648,4.311,2.787,1.836,2.457,1084.0,43.0,116.0,423.0,8.0,83.0,161.0,12.0,,,,77.0,40.0,,,,,,,,,,11.0,,,,,,3.0,13.0,7.0,,,,,,6.0,7.0,,,16.0,,,27.0,10.0,,,,,,,,,,,,,,,"(36.28333333, -120.25)",2018,6,26,19
